id,name,team,nationality,position,start_date,end_date,is_loan,appearances,source
100806,Kris Commons,Celtic FC,,,2017-01-16,,false,1,api_football_team_247
101880,R. Green,West Ham United,,,2006-08-01,2012-07-01,false,1,api_football_team_48
102056,S. Padoin,Juventus,,,2012-01-31,2016-07-04,false,1,api_football_team_496
103935,Alberto Aquilani,Liverpool FC,,,2009-08-05,2010-08-21,false,1,api_football_team_497
103935,Alberto Aquilani,Juventus,,,2010-08-21,2012-08-03,true,1,api_football_team_496
103935,Alberto Aquilani,Sporting CP,IT,CM,2015-08-06,2016-08-25,false,1,api_football_team_228
103936,Simone Pepe,Juventus,,,2011-07-01,2015-08-11,false,1,api_football_team_496
10466,Stefan Daisuke Ishizaki,LA Galaxy,SE,RM,2014-01-31,2015-07-15,false,1,kaggle_sofifa
108080,S. Lichtsteiner,Lille OSC,,,2005-08-01,2008-08-01,false,1,api_football_team_79
108080,S. Lichtsteiner,Lazio,,,2008-08-01,2011-07-01,false,1,api_football_team_79
112316,J. Mathieu,Valencia CF,,,2009-07-01,2014-07-23,false,1,api_football_team_532
112316,J. Mathieu,FC Barcelona,FR,CB,2014-07-23,2017-07-07,false,1,api_football_team_532
11381,Matthew Gilks,Rangers FC,GB,GK,2016-07-01,2017-01-31,false,1,api_football_team_257
115888,C. Heimeroth,Borussia Mönchengladbach,,,2006-08-01,,false,1,api_football_team_163
116308,R. Fanni,Marseille,FR,RB,2016-08-31,2018-03-05,false,1,api_football_team_81
116314,D. Martin,Liverpool FC,,,2007-05-06,2008-08-01,false,1,api_football_team_40
116314,D. Martin,West Ham United,GB,GK,2019-07-01,2022-09-23,false,1,api_football_team_48
1179,G. Buffon,Paris Saint-Germain,IT,GK,2018-07-06,2019-07-04,false,1,api_football_team_85
118794,A. Lonergan,Liverpool FC,,,2019-07-15,2020-12-01,false,1,api_football_team_40
118794,Andrew Lonergan,Liverpool FC,GB,GK,2019-08-12,2021-08-20,false,1,kaggle_sofifa
118794,A. Lonergan,Everton FC,,,2021-08-20,2024-07-01,false,1,api_football_team_45
119152,Kolo Habib Touré,Arsenal FC,,,2001-08-18,2013-07-26,false,1,api_football_team_42
121134,A. Walke,Salzburg,,,2010-07-10,2011-01-23,false,1,api_football_team_571
121944,Bastian Schweinsteiger,Bayern Munich,DE,CM,2002-07-01,2015-07-13,false,1,kaggle_sofifa
122649,Logan Bailly,Borussia Mönchengladbach,,,2009-01-01,2012-01-11,false,1,api_football_team_163
122649,Logan Bailly,Celtic FC,,,2015-07-09,2017-07-09,false,1,api_football_team_247
123586,M. Agazzi,AC Milan,,,2016-07-01,2016-07-18,false,1,api_football_team_489
123603,H. Campagnaro,Napoli,,,2009-07-09,2013-07-01,false,1,api_football_team_492
123603,H. Campagnaro,Inter Milan,,,2013-07-06,,false,1,api_football_team_492
123610,Giandomenico Mesto,Napoli,,,2012-08-31,2016-01-01,false,1,api_football_team_492
123621,S. Muntari,Inter Milan,,,2008-08-01,2012-07-01,false,1,api_football_team_505
125071,F. Daems,Borussia Mönchengladbach,BE,LB,2005-01-20,2015-07-01,false,1,api_football_team_163
134688,J. Faty,Marseille,,,2007-08-01,2008-08-01,false,1,api_football_team_81
134744,A. Hutchinson,Copenhagen,,,2006-01-01,2010-07-01,false,1,api_football_team_400
134744,A. Hutchinson,PSV Eindhoven,,,2010-07-01,2013-07-31,false,1,api_football_team_400
134820,Scott Brown,Celtic FC,,,2007-07-17,2021-07-01,false,1,api_football_team_247
134956,L. Cana,Marseille,,,2005-08-01,2009-07-24,false,1,api_football_team_81
134956,L. Cana,Galatasaray,,,2010-07-08,2011-07-01,false,1,api_football_team_645
134956,L. Cana,Lazio,,,2011-07-05,,false,1,api_football_team_645
134979,M. Demichelis,Bayern Munich,,,2003-07-01,2011-01-01,false,1,api_football_team_157
135032,N. Zimling,Club Brugge,,,2011-07-01,2013-01-25,false,1,api_football_team_569
135032,N. Zimling,Ajax,,,2014-09-01,2015-06-01,true,1,api_football_team_194
135043,A. Lindegaard,Manchester United,,,2011-01-01,2015-08-31,false,1,api_football_team_33
135742,Alexis Ruano Delgado,Valencia CF,,,2007-07-01,2010-08-24,false,1,api_football_team_532
135742,Alexis Ruano Delgado,Sevilla FC,,,2010-08-24,2016-01-25,false,1,api_football_team_532
135742,Alexis Ruano Delgado,Besiktas,,,2016-01-25,2016-07-29,false,1,api_football_team_549
136764,K. Boulahrouz,Chelsea FC,,,2006-08-20,2007-07-01,false,1,api_football_team_49
136764,K. Boulahrouz,Sevilla FC,,,2007-07-01,2012-07-19,true,1,api_football_team_49
136764,K. Boulahrouz,Sporting CP,,,2012-07-19,2013-10-07,false,1,api_football_team_228
137114,Michaël Ciani,Lazio,FR,CB,2012-08-01,2015-07-18,false,1,kaggle_sofifa
137114,M. Ciani,Lazio,,,2012-08-28,2015-07-18,false,1,api_football_team_487
137114,M. Ciani,Sporting CP,,,2015-07-18,2015-08-16,false,1,api_football_team_228
137186,Andrea Barzagli,Juventus,,,2011-01-26,,false,1,api_football_team_496
13732,J. Terry,Chelsea FC,,,2000-07-01,2017-07-03,false,1,api_football_team_49
137361,Giampaolo Pazzini,Fiorentina,,,2005-01-01,2009-01-14,false,1,api_football_team_502
137361,Giampaolo Pazzini,Inter Milan,,,2011-01-28,2012-08-01,false,1,api_football_team_505
137361,Giampaolo Pazzini,AC Milan,,,2012-08-22,,false,1,api_football_team_505
137767,R. Graafland,Ajax,,,2010-09-09,2011-08-01,false,1,api_football_team_194
137767,R. Graafland,Feyenoord,,,2011-08-20,,false,1,api_football_team_209
137782,G. Johnson,Chelsea FC,,,2003-07-01,2009-06-26,false,1,api_football_team_48
137782,G. Johnson,Liverpool FC,,,2009-07-01,2015-07-12,false,1,api_football_team_40
137854,Marco Storari,Napoli,,,2002-07-01,2003-01-01,false,1,api_football_team_492
137854,Marco Storari,Fiorentina,,,2008-08-01,2010-07-01,true,1,api_football_team_502
137854,Marco Storari,AC Milan,,,2017-01-10,,false,1,api_football_team_489
138110,Bruno Eduardo Regufe Alves,FC Porto,,,2005-07-01,2010-08-04,false,1,api_football_team_212
138110,Bruno Eduardo Regufe Alves,Fenerbahce,,,2013-07-01,2016-07-01,false,1,api_football_team_611
138110,Bruno Eduardo Regufe Alves,Rangers FC,PT,CB,2017-07-01,2018-07-12,false,1,api_football_team_257
138193,Joey  Barton,Rangers FC,GB,CM,2016-07-01,2017-01-02,false,1,api_football_team_257
138251,Richard Martyn Foster,Rangers FC,GB,RB,2013-09-01,2015-07-01,false,1,api_football_team_257
138334,M. El Hamdaoui,Tottenham Hotspur,,,2005-01-01,2006-07-02,false,1,api_football_team_47
138334,M. El Hamdaoui,Ajax,,,2010-07-30,2012-07-11,false,1,api_football_team_194
138334,M. El Hamdaoui,Fiorentina,,,2012-07-12,,false,1,api_football_team_194
138334,M. El Hamdaoui,Fiorentina,,,2014-07-01,2015-10-20,false,1,api_football_team_502
138384,M. Janko,Salzburg,,,2006-07-09,2010-07-01,false,1,api_football_team_571
138384,M. Janko,FC Porto,,,2012-01-31,2012-08-28,false,1,api_football_team_212
138384,M. Janko,Trabzonspor,,,2012-08-28,2014-07-30,false,1,api_football_team_998
138412,J. Milner,Newcastle United,,,2006-07-01,2008-08-31,false,1,api_football_team_66
138412,J. Milner,Aston Villa,,,2008-08-31,2010-08-17,false,1,api_football_team_66
138412,J. Milner,Liverpool FC,,,2015-07-06,2023-07-01,false,1,api_football_team_40
138532,R. Brouwers,Borussia Mönchengladbach,,,2007-08-01,2016-07-01,false,1,api_football_team_163
13879,Rickie Lambert,Liverpool FC,,,2014-07-01,,false,1,api_football_team_40
138956,G. Chiellini,Fiorentina,,,2004-08-01,2005-07-01,false,1,api_football_team_502
138956,G. Chiellini,Juventus,,,2005-08-01,,false,1,api_football_team_502
139062,W. Caballero,Manchester City,AR,GK,2014-07-08,2017-07-01,false,1,api_football_team_50
139062,W. Caballero,Chelsea FC,AR,GK,2017-07-01,2021-12-06,false,1,api_football_team_49
139068,Luís Carlos Almeida da Cunha,Valencia CF,PT,RM,2016-07-05,2018-07-11,false,1,kaggle_sofifa
139533,Alan Hutton,Tottenham Hotspur,,,2008-01-30,2011-08-01,false,1,api_football_team_257
139533,Alan Hutton,Aston Villa,,,2011-08-31,,false,1,api_football_team_47
139533,Alan Hutton,Aston Villa,,,2013-07-01,2014-02-28,false,1,api_football_team_66
139668,F. Marchetti,Lazio,,,2011-07-05,2018-07-04,false,1,api_football_team_487
139701,Jos Hooiveld,Celtic FC,,,2010-01-01,2011-01-18,false,1,api_football_team_247
139701,Jos Hooiveld,Copenhagen,,,2011-01-18,2015-07-15,true,1,api_football_team_400
139720,V. Kompany,Manchester City,,,2008-08-16,2019-07-01,false,1,api_football_team_50
139836,C. Medjani,Monaco,,,2013-01-31,2014-01-03,false,1,api_football_team_91
139836,C. Medjani,Trabzonspor,,,2017-01-11,2017-08-25,false,1,api_football_team_998
140274,Daniel Alberto Díaz,Atletico Madrid,,,2012-07-01,2013-07-17,false,1,api_football_team_530
140620,Ragnar Klavan,Liverpool FC,,CB,2016-07-20,2018-08-17,false,1,api_football_team_40
142750,L. González,Marseille,,,2009-07-06,2012-01-31,false,1,api_football_team_212
